gameid,teamname,result
ESPORTSTMNT02_2558221,Gen.G,1
ESPORTSTMNT02_2558340,FURIA,1
ESPORTSTMNT02_2558340,Rensga eSports,0
ESPORTSTMNT02_2558353,Rensga eSports,0
ESPORTSTMNT02_2558353,Los Grandes,1
ESPORTSTMNT02_2558464,Nongshim RedForce,0
ESPORTSTMNT02_2558464,OKSavingsBank Brion,1
ESPORTSTMNT02_2558481,Nongshim RedForce,1
ESPORTSTMNT02_2558481,OKSavingsBank Brion,0
ESPORTSTMNT03_2541465,Deep Cross Gaming,1
ESPORTSTMNT03_2541465,J Team,0
ESPORTSTMNT02_2558492,Team Whales,1
ESPORTSTMNT02_2578530,OKSavingsBank Brion,1
ESPORTSTMNT02_2578530,Nongshim RedForce,0
ESPORTSTMNT03_2541473,Frank Esports,1
ESPORTSTMNT03_2541473,Impunity,0
ESPORTSTMNT02_2558504,Team Whales,1
ESPORTSTMNT02_2578534,DRX,1
ESPORTSTMNT02_2578534,Hanwha Life Esports,0
ESPORTSTMNT03_2541482,HELL PIGS,1
ESPORTSTMNT03_2541482,Dewish Team,0
ESPORTSTMNT03_2541495,PSG Talon,0
ESPORTSTMNT03_2541495,Beyond Gaming,1
ESPORTSTMNT02_2578570,Hanwha Life Esports,1
ESPORTSTMNT02_2578570,DRX,0
ESPORTSTMNT02_2558527,SBTC Esports,0
ESPORTSTMNT02_2558527,Team Secret,1
ESPORTSTMNT02_2578572,DRX,1
ESPORTSTMNT02_2578572,Hanwha Life Esports,0
ESPORTSTMNT02_2558532,Team Secret,1
ESPORTSTMNT02_2558532,SBTC Esports,0
ESPORTSTMNT06_2190198,Misfits Gaming,1
ESPORTSTMNT06_2190198,Team BDS,0
ESPORTSTMNT06_2210164,Astralis,1
ESPORTSTMNT06_2210164,Rogue,0
ESPORTSTMNT06_2210170,GiantX,1
ESPORTSTMNT06_2210170,Team Vitality,0
ESPORTSTMNT06_2210177,Fnatic,1
ESPORTSTMNT06_2210177,SK Gaming,0
ESPORTSTMNT06_2210192,MAD Lions KOI,0
ESPORTSTMNT06_2210192,G2 Esports,1
ESPORTSTMNT02_2578644,T1,1
ESPORTSTMNT02_2578644,Gen.G,0
ESPORTSTMNT03_2541933,CTBC Flying Oyster,1
ESPORTSTMNT03_2541933,Frank Esports,0
ESPORTSTMNT02_2578670,T1,1
ESPORTSTMNT02_2578670,Gen.G,0
